Tue Jun 23 18:39:36 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A16                     Off |   00000000:C5:00.0 Off |                    0 |
|  0%   42C    P0             19W /   62W |       0MiB /  15356MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step: 100, Returns: nan, Epsilon: 0.9998
Step: 32600, Returns: -20.120, Epsilon: 0.9193
Step: 32700, Returns: -20.120, Epsilon: 0.9191
Step: 32800, Returns: -20.110, Epsilon: 0.9188
Updating target network...
Step: 32900, Returns: -20.140, Epsilon: 0.9186
Step: 33000, Returns: -20.180, Epsilon: 0.9183
Step: 33100, Returns: -20.140, Epsilon: 0.9181
Step: 33200, Returns: -20.140, Epsilon: 0.9178
Step: 33300, Returns: -20.150, Epsilon: 0.9176
Step: 33400, Returns: -20.120, Epsilon: 0.9173
Step: 33500, Returns: -20.100, Epsilon: 0.9171
Step: 33600, Returns: -20.140, Epsilon: 0.9168
Step: 33700, Returns: -20.150, Epsilon: 0.9166
Step: 33800, Returns: -20.140, Epsilon: 0.9163
Step: 33900, Returns: -20.140, Epsilon: 0.9161
Step: 34000, Returns: -20.130, Epsilon: 0.9159
Updating target network...
Step: 34100, Returns: -20.110, Epsilon: 0.9156
Step: 34200, Returns: -20.070, Epsilon: 0.9154
Step: 34300, Returns: -20.080, Epsilon: 0.9151
Step: 34400, Returns: -20.110, Epsilon: 0.9149
Step: 34500, Returns: -20.110, Epsilon: 0.9146
Step: 34600, Returns: -20.060, Epsilon: 0.9144
Step: 34700, Returns: -20.060, Epsilon: 0.9141
Step: 34800, Returns: -20.070, Epsilon: 0.9139
Step: 34900, Returns: -20.030, Epsilon: 0.9136
Step: 35000, Returns: -20.030, Epsilon: 0.9134
Step: 35100, Returns: -19.990, Epsilon: 0.9131
Step: 35200, Returns: -19.990, Epsilon: 0.9129
Step: 35300, Returns: -19.950, Epsilon: 0.9126
Updating target network...
Step: 35400, Returns: -19.950, Epsilon: 0.9124
Step: 35500, Returns: -19.950, Epsilon: 0.9121
Step: 35600, Returns: -19.920, Epsilon: 0.9119
Step: 35700, Returns: -19.920, Epsilon: 0.9116
Step: 35800, Returns: -19.880, Epsilon: 0.9114
Step: 35900, Returns: -19.800, Epsilon: 0.9111
Step: 36000, Returns: -19.800, Epsilon: 0.9109
Step: 36100, Returns: -19.780, Epsilon: 0.9107
Step: 36200, Returns: -19.770, Epsilon: 0.9104
Step: 36300, Returns: -19.780, Epsilon: 0.9102
Step: 36400, Returns: -19.790, Epsilon: 0.9099
Step: 36500, Returns: -19.790, Epsilon: 0.9097
Updating target network...
Step: 36600, Returns: -19.800, Epsilon: 0.9094
Step: 36700, Returns: -19.790, Epsilon: 0.9092
Step: 36800, Returns: -19.820, Epsilon: 0.9089
Step: 36900, Returns: -19.820, Epsilon: 0.9087
Step: 37000, Returns: -19.830, Epsilon: 0.9084
Step: 37100, Returns: -19.830, Epsilon: 0.9082
Step: 37200, Returns: -19.850, Epsilon: 0.9079
Step: 37300, Returns: -19.840, Epsilon: 0.9077
Step: 37400, Returns: -19.840, Epsilon: 0.9074
Step: 37500, Returns: -19.850, Epsilon: 0.9072
Step: 37600, Returns: -19.860, Epsilon: 0.9069
Step: 37700, Returns: -19.860, Epsilon: 0.9067
Step: 37800, Returns: -19.850, Epsilon: 0.9064
Updating target network...
Step: 37900, Returns: -19.870, Epsilon: 0.9062
Step: 38000, Returns: -19.870, Epsilon: 0.9060
Step: 38100, Returns: -19.870, Epsilon: 0.9057
Step: 38200, Returns: -19.870, Epsilon: 0.9055
Step: 38300, Returns: -19.880, Epsilon: 0.9052
Step: 38400, Returns: -19.870, Epsilon: 0.9050
Step: 38500, Returns: -19.890, Epsilon: 0.9047
Step: 38600, Returns: -19.870, Epsilon: 0.9045
Step: 38700, Returns: -19.890, Epsilon: 0.9042
Step: 38800, Returns: -19.950, Epsilon: 0.9040
